1.8860 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
106.5019 	EXP 	fixation: autoDraw = False
106.5019 	EXP 	grating: autoDraw = False
106.5019 	EXP 	grating: ori = 0.0
106.5019 	EXP 	fixation: autoDraw = True
107.5017 	EXP 	fixation: autoDraw = False
107.5017 	EXP 	grating: autoDraw = True
107.8019 	EXP 	grating: autoDraw = False
108.3229 	EXP 	New trial (rep=53, index=0): None
108.3249 	DATA 	Keypress: up
108.3350 	EXP 	fixation: autoDraw = False
108.3350 	EXP 	grating: autoDraw = False
108.3350 	EXP 	grating: ori = -3.0
108.3350 	EXP 	fixation: autoDraw = True
109.3350 	EXP 	fixation: autoDraw = False
109.3350 	EXP 	grating: autoDraw = True
109.6348 	EXP 	grating: autoDraw = False
110.0551 	EXP 	New trial (rep=54, index=0): None
110.0565 	DATA 	Keypress: down
110.0678 	EXP 	fixation: autoDraw = False
110.0678 	EXP 	grating: autoDraw = False
110.0678 	EXP 	grating: ori = -5.0
110.0678 	EXP 	fixation: autoDraw = True
111.0681 	EXP 	fixation: autoDraw = False
111.0681 	EXP 	grating: autoDraw = True
111.3679 	EXP 	grating: autoDraw = False
111.7550 	EXP 	New trial (rep=55, index=0): None
111.7571 	DATA 	Keypress: down
111.7681 	EXP 	fixation: autoDraw = False
111.7681 	EXP 	grating: autoDraw = False
111.7681 	EXP 	grating: ori = 0.0
111.7681 	EXP 	fixation: autoDraw = True
112.7681 	EXP 	fixation: autoDraw = False
112.7681 	EXP 	grating: autoDraw = True
113.0677 	EXP 	grating: autoDraw = False
113.5198 	EXP 	New trial (rep=56, index=0): None
113.5208 	DATA 	Keypress: up
113.5341 	EXP 	fixation: autoDraw = False
113.5341 	EXP 	grating: autoDraw = False
113.5341 	EXP 	grating: ori = 1.0
113.5341 	EXP 	fixation: autoDraw = True
114.5341 	EXP 	fixation: autoDraw = False
114.5341 	EXP 	grating: autoDraw = True
114.8341 	EXP 	grating: autoDraw = False
115.0530 	EXP 	New trial (rep=57, index=0): None
115.0540 	DATA 	Keypress: up
115.0672 	EXP 	fixation: autoDraw = False
115.0672 	EXP 	grating: autoDraw = False
115.0672 	EXP 	grating: ori = -5.0
115.0672 	EXP 	fixation: autoDraw = True
116.0671 	EXP 	fixation: autoDraw = False
116.0671 	EXP 	grating: autoDraw = True
116.3673 	EXP 	grating: autoDraw = False
116.7529 	EXP 	New trial (rep=58, index=0): None
116.7538 	DATA 	Keypress: down
116.7668 	EXP 	fixation: autoDraw = False
116.7668 	EXP 	grating: autoDraw = False
116.7668 	EXP 	grating: ori = 0.0
116.7668 	EXP 	fixation: autoDraw = True
117.7670 	EXP 	fixation: autoDraw = False
117.7670 	EXP 	grating: autoDraw = True
118.0670 	EXP 	grating: autoDraw = False
118.6691 	EXP 	New trial (rep=59, index=0): None
118.6702 	DATA 	Keypress: up
118.6835 	EXP 	fixation: autoDraw = False
118.6835 	EXP 	grating: autoDraw = False
118.6835 	EXP 	grating: ori = 0.0
118.6835 	EXP 	fixation: autoDraw = True
119.6833 	EXP 	fixation: autoDraw = False
119.6833 	EXP 	grating: autoDraw = True
119.9834 	EXP 	grating: autoDraw = False
120.2878 	EXP 	New trial (rep=60, index=0): None
120.2897 	DATA 	Keypress: up
120.2998 	EXP 	fixation: autoDraw = False
120.2998 	EXP 	grating: autoDraw = False
120.2998 	EXP 	grating: ori = 2.0
